name,f_year,l_year,tournament_duration,total_matches,minutes,surface,best_of,t_month,most_wins,df,ace,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced
Davis Cup AME QF: URU vs MEX,1983,1983,1,4,0.0,Clay,5,3,Jose Luis Damiani,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: USA vs MEX,1976,1976,1,4,0.0,Hard,5,12,Roscoe Tanner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME QF: VEN vs BRA,1985,1985,1,4,0.0,Hard,5,3,Marcos Hocevar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME R1: CAR vs CUB,1987,1987,1,4,0.0,Clay,5,1,Juan Pino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME R1: COL vs URU,1987,1987,1,4,0.0,Clay,5,1,Diego Perez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME R1: PER vs BRA,1983,1983,1,4,0.0,Clay,5,1,Carlos Kirmayr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME R1: VEN vs CAN,1987,1987,1,4,0.0,Hard,5,1,Martin Wostenholme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME R1: VEN vs MEX,1984,1984,1,4,0.0,Hard,5,1,Fernando Perez Pascal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME R1: VEN vs URU,1986,1986,1,4,0.0,Hard,5,1,Diego Perez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: ARG vs CHI,1977,1977,1,2,0.0,Clay,5,3,Ricardo Cano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: ARG vs PER,1986,1986,1,4,0.0,Clay,5,7,Pablo Arraya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: AUS vs INA,1976,1976,1,4,0.0,Grass,5,1,Tony Roche,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: AUS vs JPN,1975,1975,1,4,0.0,Grass,5,1,John Newcombe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: BRA vs CHI,1986,1986,1,4,0.0,Clay,5,7,Pedro Rebolledo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: BRA vs COL,1985,1985,1,4,0.0,Clay,5,8,Dacio Campos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: BRA vs URU,1984,1984,1,4,0.0,Clay,5,5,Diego Perez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: CAN vs CAR,1970,1970,1,4,0.0,Clay,5,6,John Sharpe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: CAN vs ECU,1987,1987,1,4,0.0,Hard,5,7,Andres Gomez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: CAN vs MEX,1972,1985,14,8,0.0,Clay,5,8,Francisco Maciel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: CHI vs ARG,1976,1976,1,2,0.0,Clay,5,3,Guillermo Vilas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: CHI vs BRA,1987,1987,1,4,0.0,Clay,5,7,Pedro Rebolledo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: CHI vs MEX,1984,1984,1,4,0.0,Clay,5,5,Pedro Rebolledo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: CHN vs JPN,1984,1984,1,4,0.0,Clay,5,5,Tsuyoshi Fukui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: COL vs CAN,1981,1981,1,4,0.0,Clay,5,1,Alejandro Cortes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: COL vs CAR,1982,1982,1,4,0.0,Clay,5,1,Alejandro Cortes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: ECU vs CAN,1983,1983,1,4,0.0,Clay,5,5,Andres Gomez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: JPN vs AUS,1978,1978,1,4,0.0,Clay,5,1,Geoff Masters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: MEX vs CAN,1968,1971,4,8,0.0,Clay,5,5,Joaquin Loyo Mayo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: MEX vs NZL,1970,1970,1,4,0.0,Clay,5,5,Onny Parun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Cup AME SF: URU vs BRA,1983,1983,1,4,0.0,Clay,5,5,Diego Perez,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
